Age_Group,Gender,Income_Level,Car_Type,Marital_Status,Has_Children,Education,Credit_Score_Category,Purchased
46-60,Female,Medium,Sedan,Single,Yes,Bachelor,Good,No
60+,Female,Medium,Truck,Divorced,Yes,Bachelor,Good,No
36-45,Male,Medium,Hatchback,Married,Yes,Bachelor,Good,No
60+,Male,High,Truck,Single,Yes,High School,Excellent,No
60+,Female,Medium,Truck,Married,No,Bachelor,Good,No
26-35,Female,High,SUV,Single,No,Bachelor,Good,Yes
36-45,Other,Medium,SUV,Single,No,Bachelor,Fair,No
36-45,Male,Medium,Hatchback,Divorced,Yes,Bachelor,Fair,No
36-45,Female,Medium,Convertible,Married,No,High School,Good,Yes
60+,Male,Medium,SUV,Married,No,High School,Good,Yes
46-60,Male,Low,Convertible,Single,Yes,High School,Excellent,No
36-45,Female,Low,Sedan,Single,Yes,Bachelor,Poor,No
60+,Female,High,SUV,Divorced,Yes,High School,Fair,No
26-35,Other,Low,SUV,Single,Yes,Bachelor,Good,Yes
46-60,Male,Medium,Hatchback,Single,Yes,Bachelor,Excellent,Yes
26-35,Male,Medium,Convertible,Married,No,Bachelor,Excellent,No
46-60,Female,Medium,SUV,Married,Yes,Bachelor,Fair,Yes
60+,Female,Medium,SUV,Married,No,High School,Poor,Yes
18-25,Male,Low,Hatchback,Single,Yes,Bachelor,Fair,Yes
46-60,Male,Medium,Hatchback,Single,Yes,PhD,Fair,Yes
26-35,Male,Medium,Convertible,Single,No,Bachelor,Excellent,No
60+,Female,Medium,Sedan,Divorced,No,Master,Fair,No
46-60,Male,Low,Sedan,Single,Yes,Master,Fair,Yes
18-25,Male,Medium,Truck,Married,No,Bachelor,Fair,Yes
18-25,Male,Low,SUV,Married,No,High School,Fair,No
36-45,Male,Low,Convertible,Married,Yes,Bachelor,Excellent,No
36-45,Male,Low,SUV,Married,Yes,High School,Poor,No
26-35,Female,Low,Convertible,Single,No,Bachelor,Fair,No
46-60,Male,High,Convertible,Single,Yes,Master,Excellent,Yes
46-60,Female,Low,Convertible,Married,Yes,Master,Poor,No
36-45,Male,High,SUV,Single,Yes,Bachelor,Good,Yes
46-60,Female,High,Hatchback,Married,Yes,Bachelor,Fair,No
46-60,Female,Medium,SUV,Married,No,Bachelor,Good,No
18-25,Female,Low,Convertible,Married,Yes,Master,Poor,No
36-45,Female,Medium,Truck,Single,No,Master,Fair,Yes
60+,Male,Medium,Sedan,Divorced,Yes,PhD,Good,Yes
36-45,Male,Medium,Convertible,Single,Yes,High School,Fair,Yes
60+,Female,Low,Truck,Married,Yes,Bachelor,Good,No
18-25,Other,Medium,Hatchback,Married,No,High School,Fair,Yes
26-35,Female,High,Convertible,Married,No,High School,Good,Yes
46-60,Female,Medium,Truck,Married,Yes,PhD,Excellent,Yes
18-25,Female,Low,Convertible,Divorced,Yes,PhD,Poor,No
46-60,Male,Medium,SUV,Divorced,No,High School,Fair,No
26-35,Male,Low,Truck,Married,No,High School,Excellent,Yes
26-35,Female,Low,SUV,Single,Yes,High School,Good,No
18-25,Female,High,SUV,Married,No,Master,Poor,Yes
26-35,Male,Low,Truck,Married,No,High School,Fair,No
60+,Female,Low,Sedan,Single,Yes,High School,Fair,Yes
26-35,Male,Low,Truck,Single,Yes,High School,Poor,No
46-60,Female,High,Sedan,Single,Yes,Bachelor,Excellent,Yes
46-60,Male,Medium,Convertible,Single,No,PhD,Good,No
46-60,Male,Medium,Convertible,Married,No,High School,Good,Yes
46-60,Female,Medium,Truck,Divorced,Yes,Bachelor,Fair,Yes
60+,Male,Low,Convertible,Married,Yes,High School,Poor,Yes
36-45,Female,Medium,Hatchback,Married,Yes,Bachelor,Excellent,Yes
18-25,Female,Medium,SUV,Divorced,No,Bachelor,Poor,No
46-60,Female,Low,SUV,Single,Yes,High School,Fair,No
26-35,Male,Medium,Sedan,Married,Yes,High School,Fair,No
46-60,Male,High,Convertible,Married,Yes,Master,Good,Yes
26-35,Male,Low,Sedan,Married,Yes,High School,Fair,No
26-35,Other,Low,SUV,Single,Yes,Bachelor,Fair,No
46-60,Female,Low,SUV,Married,Yes,Bachelor,Excellent,No
60+,Female,Low,Convertible,Single,Yes,High School,Good,Yes
26-35,Female,High,Hatchback,Married,No,Bachelor,Poor,No
26-35,Female,Medium,Hatchback,Single,Yes,Master,Good,Yes
46-60,Female,Medium,Convertible,Married,Yes,Bachelor,Fair,No
26-35,Male,Medium,Convertible,Single,No,High School,Fair,No
26-35,Female,Low,Sedan,Single,Yes,Bachelor,Good,No
46-60,Male,Medium,Convertible,Married,No,Bachelor,Fair,No
46-60,Female,Medium,Hatchback,Single,Yes,Bachelor,Fair,No
18-25,Female,Medium,Convertible,Married,Yes,Bachelor,Good,No
60+,Female,High,Sedan,Divorced,Yes,High School,Excellent,No
60+,Male,Medium,Sedan,Married,Yes,Bachelor,Good,No
26-35,Male,Medium,Sedan,Single,No,Bachelor,Poor,No
60+,Male,High,Sedan,Married,Yes,Bachelor,Fair,No
26-35,Male,Low,Truck,Married,Yes,Bachelor,Fair,No
18-25,Male,Low,Convertible,Married,Yes,High School,Fair,No
46-60,Female,Low,SUV,Single,Yes,Bachelor,Fair,No
46-60,Female,Medium,Convertible,Married,Yes,PhD,Good,No
46-60,Male,Medium,Truck,Married,Yes,Bachelor,Poor,No
60+,Male,Medium,Sedan,Single,Yes,Bachelor,Fair,No
18-25,Male,High,Truck,Single,No,Bachelor,Good,No
60+,Female,Medium,Hatchback,Married,Yes,PhD,Fair,Yes
60+,Female,Medium,Hatchback,Married,No,PhD,Excellent,No
18-25,Female,Low,Convertible,Divorced,No,Bachelor,Fair,No
18-25,Female,Low,Convertible,Married,Yes,High School,Excellent,No
18-25,Other,Medium,SUV,Single,No,PhD,Excellent,Yes
18-25,Female,Medium,SUV,Single,No,Bachelor,Excellent,No
46-60,Male,High,Hatchback,Divorced,Yes,Bachelor,Poor,No
36-45,Female,Low,Sedan,Divorced,No,Master,Excellent,No
36-45,Male,Low,Truck,Divorced,Yes,Bachelor,Poor,No
18-25,Female,Medium,SUV,Married,Yes,High School,Poor,No
36-45,Male,Low,SUV,Single,No,Master,Fair,No
36-45,Female,Low,Sedan,Married,Yes,Bachelor,Poor,No
18-25,Female,Medium,Sedan,Married,Yes,Bachelor,Poor,No
36-45,Female,Low,Convertible,Single,Yes,High School,Fair,No
60+,Female,Medium,Truck,Married,No,Bachelor,Fair,Yes
26-35,Male,Low,Sedan,Single,No,High School,Good,No
26-35,Male,Low,SUV,Single,No,Bachelor,Poor,No
18-25,Male,Medium,SUV,Married,No,Bachelor,Good,No
46-60,Male,High,Hatchback,Married,Yes,Master,Excellent,No
18-25,Female,Medium,Sedan,Married,Yes,Bachelor,Fair,No
46-60,Male,Medium,Convertible,Single,No,Master,Good,Yes
